Título,balance-electrico_01-2021_12-2022,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,ene/21,feb/21,mar/21,abr/21,may/21,jun/21,jul/21,ago/21,sep/21,oct/21,nov/21,dic/21,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
Ciclo combinado,"2729,183017","1544,065785","2151,091661","3384,471579","2444,871606","3658,878948","3718,134418","4047,368387","4943,197265","4407,05637","6317,636788","5154,143508","5898,394445","4671,261013","3873,33498","3146,865903","3713,639285","6478,9437960000005","8460,442205","8082,02529","7704,900791","7066,692644000001","4672,406454","4368,592847"
Carbón,"557,975979","176,26671900000002","242,138946","270,100026","331,93111300000004","473,579232","311,10233","319,182668","477,087202","527,419848","576,437576","719,9263739999999","709,9632190000001","568,629528","705,226125","691,004601","527,154558","833,03637","882,232497","819,592534","632,066719","381,004644","321,469754","693,672984"
Motores diésel,"203,759973","160,418085","173,283976","187,547789","178,36229999999998","206,220592","239,57681599999998","258,860338","256,964192","233,57056500000002","203,062243","215,79723800000002","210,125165","185,57552600000002","207,451405","205,100239","215,84438","224,84698999999998","242,769399","245,67277900000002","216,066758","202,310397","192,19661100000002","200,24164499999998"
Turbina de gas,"28,766271","18,026130000000002","27,904377","24,553476999999997","24,916217","34,119217","40,565981","47,885346","71,402214","46,314807","30,058985","29,066882","34,446764","34,328002","38,861629","34,57236","42,307777","47,734012","79,729885","85,532472","84,42261599999999","79,275334","47,409887000000005","48,856536"
Turbina de vapor,"116,282053","104,960847","100,75825900000001","70,652976","62,41677","33,486942000000006","66,13421000000001","99,64419000000001","113,21021300000001","112,484255","115,10902300000001","112,916219","117,429802","102,630663","114,410944","103,636366","86,849653","60,625901","73,212087","102,41701300000001","110,95399099999999","118,59882","93,771169","122,69665499999999"
Fuel + Gas,-,-,-,-,-,-,"-0,000001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cogeneración,"2405,236806","1838,16573","2253,823616","2193,285205","2206,3288620000003","2181,2767940000003","2243,226356","2106,285519","2166,255198","2147,907197","2173,751719","2175,103528","2147,921609","2119,152721","2217,421993","1709,641202","1870,740241","1467,878881","1056,410114","776,2466069999999","739,205061","1095,3921440000001","1453,538553","1100,671517"
Residuos no renovables,"182,93208900000002","172,740345","184,342436","178,093968","177,333071","198,27345250000002","205,0148095","212,2020115","179,8171845","187,508","179,2608205","181,2231155","169,946929","144,54671599999998","183,9956055","171,926116","170,5851775","155,909442","181,0204545","164,79721650000002","139,937864","155,069311","127,5581155","134,6680325"
Generación no renovable,"11744,408092999998","8774,451967","10297,202828000001","10659,71763","10038,119418000002","10575,919424500002","12058,9791675","12402,455226499997","13216,749793499997","12642,737893000001","13360,3785605","12780,919135499998","14552,290625000001","12882,262385000004","12381,2408865","10814,174853","10993,494122500002","13999,748711","16265,847512499999","15737,768129499998","14779,731793","13505,311341","11501,5910585","12315,971726499998"
Consumos en bombeo,"-610,896963","-789,6487","-463,99289799999997","-216,71216","-393,88359399999996","-149,0585","-180,980916","-186,46476800000002","-161,085067","-369,967849","-273,260126","-521,835032","-393,061476","-484,65831099999997","-413,673717","-596,643821","-443,41773","-467,84592200000003","-366,431347","-478,121079","-477,584495","-561,02917","-586,962558","-825,886546"
